20251216_085916 | video | frame=69 | PLATE=DLACAHO8O2 | YOLO=0.541 | OCR=0.217
20251216_085916 | video | frame=70 | PLATE=DL3CAHD02  | YOLO=0.516 | OCR=0.267
20251216_085916 | video | frame=71 | PLATE=DL3CHH0202 | YOLO=0.510 | OCR=0.228
20251216_085916 | video | frame=73 | PLATE=0L3CAHO8O2 | YOLO=0.468 | OCR=0.457
20251216_085916 | video | frame=75 | PLATE=DL3CHI0802 | YOLO=0.660 | OCR=0.401
20251216_085916 | video | frame=76 | PLATE=DL3CAHO002 | YOLO=0.477 | OCR=0.393
20251216_085916 | video | frame=77 | PLATE=DL3CAH00O2 | YOLO=0.583 | OCR=0.175
20251216_085916 | video | frame=78 | PLATE=OL3C4W0802 | YOLO=0.627 | OCR=0.179
20251216_085916 | video | frame=81 | PLATE=DL3CAHODOZ | YOLO=0.532 | OCR=0.046
20251216_085916 | video | frame=82 | PLATE=DLJCAMO6O2 | YOLO=0.522 | OCR=0.205
20251216_085916 | video | frame=84 | PLATE=OL3C4W0002 | YOLO=0.685 | OCR=0.541
20251216_090506 | video | FINAL_PLATE=DL3C440302 | AVG_OCR_CONF=0.649
20251216_090646 | video | FINAL_PLATE=DL3C440302 | AVG_OCR_CONF=0.649
20251216_112411 | video | FINAL_PLATE=DL3C440302 | AVG_OCR_CONF=0.649
20251216_112954 | video2 | FINAL_PLATE=DL8CBA5199 | AVG_OCR_CONF=0.682
20251216_113505 | video2 | FINAL_PLATE=DL8CBA5199 | AVG_OCR_CONF=0.682
20251216_115507 | video2 | FINAL_PLATE=DL8CBA5199 | AVG_OCR_CONF=0.682
20251216_122721 | video2 | FINAL_PLATE=DL8CBA5199 | AVG_OCR_CONF=0.682
20251216_130104 | video2 | FINAL_PLATE=DL8CBA5199 | AVG_OCR_CONF=0.682
